DFO Area,Species Name,SMU Name,SMU Full Index,SMU Life History Type,CU Name,CU Common Name,CU Full Index,CU Life History Type,CU Type,DU Name,DU Number,DU Full Index,DU Acronym
FRASER AND INTERIOR,Chinook,OKANAGAN CHINOOK SALMON,CK-FIA-01,,OKANAGAN_0.x,Okanagan_0.x,CK-01,,Current,"Okanagan River,Ocean, Summer",69,CK-DU-69,OK+ORWA/Ocean/Fall
FRASER AND INTERIOR,Chinook,,,,FRASER-MISCELLANEOUS,Fraser-Miscellaneous,CK-9004,,Bin,,,,
FRASER AND INTERIOR,Chinook,,,,FRASER-HARRISON FALL TRANSPLANT_FA_0.3,Fraser-Harrison Fall Transplant_FA_0.3,CK-9008,,Bin,,,,
FRASER AND INTERIOR,Chinook,,,,FRASER-CROSS-CU SUPPLEMENTATION EXCLUSION,Fraser-Cross-Cu Supplementation Exclusion,CK-9006,,Bin,,,,
FRASER AND INTERIOR,Chinook,FRASER SUMMER RUN 41 CHINOOK SALMON,CK-FIA-07,,UPPER ADAMS RIVER_SU_1.x,Upper Adams River_SU_1.x,CK-82,,Current,"Upper Adams, Stream, Summer",29,CK-DU-29,STh+GStr/Stream/Summer
FRASER AND INTERIOR,Chinook,FRASER SUMMER RUN 52 CHINOOK SALMON,CK-FIA-05,,NORTH THOMPSON_SU_1.3,North Thompson_SU_1.3,CK-19,,Current,"North Thompson, Stream, Summer",17,CK-DU-17,NTh+Gstr/Stream/Summer
FRASER AND INTERIOR,Chinook,FRASER SPRING RUN 52 CHINOOK SALMON,CK-FIA-08,,NORTH THOMPSON_SP_1.3,North Thompson_SP_1.3,CK-18,,Current,"North Thompson, Stream, Spring",16,CK-DU-16,NTh+GStr/Stream/Spring
FRASER AND INTERIOR,Chinook,FRASER SPRING RUN 42 CHINOOK SALMON,CK-FIA-06,,LOWER THOMPSON_SP_1.2,Lower Thompson_SP_1.2,CK-17,,Current,"Lower Thompson, Stream, Spring",15,CK-DU-15,LTh+GStr/Stream/Spring
FRASER AND INTERIOR,Chinook,FRASER SPRING RUN 42 CHINOOK SALMON,CK-FIA-06,,SOUTH THOMPSON-BESSETTE CREEK_SU_1.2,South Thompson-Bessette Creek_SU_1.2,CK-16,,Current,"South Thompson, Stream, Summer (Bessette)",14,CK-DU-14,STh+GStr/Stream/Summer/(Bessette)
FRASER AND INTERIOR,Chinook,FRASER SUMMER RUN 41 CHINOOK SALMON,CK-FIA-07,,SHUSWAP RIVER_SU_0.3,Shuswap River_SU_0.3,CK-15,,Current,"South Thompson, Ocean, Summer",12,CK-DU-12,STh+GStr/Ocean/Summer
FRASER AND INTERIOR,Chinook,FRASER SUMMER RUN 52 CHINOOK SALMON,CK-FIA-05,,SOUTH THOMPSON_SU_1.3,South Thompson_SU_1.3,CK-14,,Current,"South Thompson, Stream, Summer",13,CK-DU-13,STh+GStr/Stream/Summer
FRASER AND INTERIOR,Chinook,FRASER SUMMER RUN 41 CHINOOK SALMON,CK-FIA-07,,SOUTH THOMPSON_SU_0.3,South Thompson_SU_0.3,CK-13,,Current,"South Thompson, Ocean, Summer",12,CK-DU-12,STh+GStr/Ocean/Summer
FRASER AND INTERIOR,Chinook,FRASER SPRING RUN 52 CHINOOK SALMON,CK-FIA-08,,UPPER FRASER RIVER_SP_1.3,Upper Fraser River_SP_1.3,CK-12,,Current,"Upper Fraser, Stream, Spring",11,CK-DU-11,UFR/Stream/Spring
FRASER AND INTERIOR,Chinook,FRASER SUMMER RUN 52 CHINOOK SALMON,CK-FIA-05,,MIDDLE FRASER RIVER_SU_1.3,Middle Fraser River_SU_1.3,CK-11,,Current,"Middle Fraser,Stream, Summer",10,CK-DU-10,MFR+GStr/Stream/Summer
FRASER AND INTERIOR,Chinook,FRASER SPRING RUN 52 CHINOOK SALMON,CK-FIA-08,,MIDDLE FRASER RIVER_SP_1.3,Middle Fraser River_SP_1.3,CK-10,,Current,"Middle Fraser, Stream, Spring",9,CK-DU-09,MFR+GStr/Stream/Spring
FRASER AND INTERIOR,Chinook,FRASER SUMMER RUN 52 CHINOOK SALMON,CK-FIA-05,,MIDDLE FRASER RIVER-PORTAGE_FA_1.3,Middle Fraser River-Portage_FA_1.3,CK-09,,Current,"Middle Fraser, Stream, Fall (Portage)",8,CK-DU-08,MFR+GStr/Stream/Fall
FRASER AND INTERIOR,Chinook,FRASER SPRING RUN 52 CHINOOK SALMON,CK-FIA-08,,MIDDLE FRASER-FRASER CANYON_SP_1.3,Middle Fraser-Fraser Canyon_SP_1.3,CK-08,,Current,"Middle Fraser, Stream, Spring (FRCanyon)",7,CK-DU-07,FRCanyGStr/Stream/Spring
FRASER AND INTERIOR,Chinook,FRASER SUMMER RUN 41 CHINOOK SALMON,CK-FIA-07,,MARIA SLOUGH_SU_0.3,Maria Slough_SU_0.3,CK-07,,Current,"Lower Fraser, Ocean, Summer (Maria Slough)",6,CK-DU-06,LFR+GStr/Ocean/Summer
FRASER AND INTERIOR,Chinook,FRASER SUMMER RUN 52 CHINOOK SALMON,CK-FIA-05,,LOWER FRASER RIVER_SU_1.3,Lower Fraser River_SU_1.3,CK-06,,Current,"Lower Fraser, Stream, Summer (Lillooet)",5,CK-DU-05,LFR+GStr/Stream/Summer
